首 11	中 9	末 10
42470F0C	14997E29	F6B6F961
42470F0C	49FABEF4	F8F8D1FF
42470F0C	5725E16F	8484AF65
42470F0C	D57DEFD0	AAF1B7EB
42470F0C	8C798C0C	B835C7D3
42470F0C	F10BCF48	ABB178CD
42470F0C	05DF7A19	EDF27645
42470F0C	67A51EE1	CE5FBA14
42470F0C	6A329B37	F400DC32
42470F0C	E79F6D43	36C73AAF
42470F0C	F179E84F	41881A33
42470F0C	EEA36B21	D7359489
42470F0C	0E76823F	359ACC0D
42470F0C	1127AF33	54025608
42470F0C	54DE2938	4FBA8185
42470F0C	F7616B7A	5C047061
42470F0C	DB11A251	5B90FF2D
42470F0C	A1A2D9C0	176E1FD3
42470F0C	2895FCEF	F3D87527
42470F0C	DBD4EED2	5C42F46F
42470F0C	7F07B3F8	BC5647D5
42470F0C	F8EBF6A9	E74B08B9
42470F0C	DD1AF7CA	64A4A166
42470F0C	FC45F846	A2E8547A
42470F0C	266D19AE	8EB0A9BF
42470F0C	0FA1EACE	87007CA7
42470F0C	46FC2C8F	2215BC46
42470F0C	09F0FDC6	A62AD589
42470F0C	9FD935CD	37F4B555
42470F0C	734E2C04	5278159F
42470F0C	731CAFE8	377D3051
42470F0C	8651BD41	64D8B9FF
42470F0C	ABA43140	129A63E8
42470F0C	563A8566	7AF27C34
42470F0C	392645A5	0757D2B6
42470F0C	5003498A	F08D1CFB
42470F0C	F88F98E9	B9F1FB6E
42470F0C	D92598A1	66DB7556
42470F0C	45C890C7	31478F81
42470F0C	F55B6AD7	944BBBDF
42470F0C	D29DA5E2	CB3C7798
42470F0C	264910B3	8D7F7910
42470F0C	58E8B674	5A12DBCA
42470F0C	EDA47C01	6BE4AB65
42470F0C	3D8A917A	E90BC097
42470F0C	0C214A7B	69A82171
42470F0C	03C166A6	D21A01B7
42470F0C	C38EA243	DA5ADA0C
42470F0C	8D8C9679	8047507A
42470F0C	216F95BE	AEFDE2FF
42470F0C	DB807D34	44CA0A9E
42470F0C	7CBC81C0	7DC1BD21
42470F0C	97564C3F	C6B9456E
42470F0C	9856B50B	6BBC6204
42470F0C	154FB9F5	09388C08
42470F0C	A3901912	A43A06C6
42470F0C	6DFEFD74	465AF449
42470F0C	220FB42B	FDF68D94
42470F0C	DCDBAF5D	9E229D85
42470F0C	C8737B3D	EC17CD24
42470F0C	061D9F5B	0E773FAB
42470F0C	1D2360F3	0829F0BE
42470F0C	74C1ACC2	0E30C2CE
42470F0C	DF4BAA47	FA516787
42470F0C	9898E7A5	EFA56493
42470F0C	4A662FFD	90C4176B
42470F0C	EE2B0698	8824CCE6
42470F0C	181C93B5	3A231670
42470F0C	B2090569	1101F16C
42470F0C	E4403B78	494905B1
42470F0C	2FA636DA	9E0EDF9D
42470F0C	E9E36D21	48151160
42470F0C	2EC7860B	DC8F50E6
42470F0C	CC8513F7	A97A492E
42470F0C	DAE807C3	76AE648F
42470F0C	2E3CB292	30ED6A07
42470F0C	343DF8A6	154D02C2
42470F0C	17EEF0EC	51CA654D
42470F0C	D991E08E	C14A949B
42470F0C	9A41843E	3DCDD6F2
42470F0C	1E142B03	FA42A104
42470F0C	52633AAF	D7A39AED
42470F0C	3065736C	EC5CCE58
42470F0C	B27113AF	C4CF3E54
42470F0C	CA8320C6	9C486082
42470F0C	A902A0B2	20709613
42470F0C	CD79D208	E9328380
42470F0C	186CF4D6	94A1D4FE
42470F0C	C6D86AEA	4D798FA1
42470F0C	15B806E8	B91B944F
42470F0C	C10C36F3	4554D189
42470F0C	DAC7C69F	5A6C65B8
42470F0C	926BF126	E8D9A18D
42470F0C	7965C719	382721BF
42470F0C	645BB2DB	6817C5F8
42470F0C	C94D60F6	74EDAE25
42470F0C	FA4C115B	9AB24783
42470F0C	FE1C992C	F2C3ACE0
42470F0C	ADA4D1C3	464E653B
42470F0C	AC36FD03	91E6A215
42470F0C	24052610	7B96B711
42470F0C	747C8B09	250C1B84
42470F0C	81734F5E	7489D323
42470F0C	CF681689	22509367
