名次,昵称,组别,总分,最后提交时间
1,1+1=2,已封禁,2734,2025-10-21 19:37:31
2,我不要爆零,已封禁,1250,2025-10-23 10:51:06
3,Théo,已封禁,1033,2025-10-19 13:42:46
4,Matriy,已封禁,831,2025-10-20 21:30:19
5,两只猫,已封禁,815,2025-10-18 18:53:10
6,Mon3tr,已封禁,738,2025-10-19 12:52:32
7,Paralaxe,已封禁,690,2025-10-18 20:51:39
8,123,已封禁,646,2025-10-18 17:11:49
9,遇到困难睡大觉,已封禁,619,2025-10-18 20:39:10
10,dddd,已封禁,421,2025-10-20 17:56:15
11,娱乐局,已封禁,415,2025-10-22 19:18:27
12,milkdragon,已封禁,375,2025-10-18 02:18:06
13,Kronos,已封禁,375,2025-10-18 12:22:36
14,onehang,已封禁,375,2025-10-18 13:20:09
15,Levi38,已封禁,375,2025-10-18 15:00:51
16,lip,已封禁,361,2025-10-19 22:32:30
17,syy1021,已封禁,355,2025-10-22 19:20:54
18,sy,已封禁,321,2025-10-18 19:59:00
19,Xiong hy,已封禁,309,2025-10-23 22:25:17
20,早茶光,已封禁,275,2025-10-20 21:49:29
21,GaleInk,已封禁,261,2025-10-20 14:36:17
22,manbaOUT,已封禁,255,2025-10-18 00:01:42
23,nazhawygsn,已封禁,228,2025-10-22 19:38:50
24,ddddddssssss,已封禁,209,2025-10-18 00:18:01
25,奶龙,已封禁,183,2025-10-23 19:11:33
26,梵殇,已封禁,166,2025-10-18 08:43:42
27,...,已封禁,165,2025-10-23 10:35:05
28,Jazaky,已封禁,164,2025-10-18 12:18:27
29,Luno,已封禁,164,2025-10-19 14:34:47
30,Mnzn,已封禁,164,2025-10-19 18:14:05
31,WPFLauncher,已封禁,164,2025-10-19 18:14:45
32,xuan23,已封禁,111,2025-10-17 22:59:20
33,7k7k,已封禁,111,2025-10-17 23:11:58
34,z3nbyte,已封禁,111,2025-10-21 15:04:19
35,xx.xx,已封禁,111,2025-10-21 17:47:52
36,RubySaturn,已封禁,102,2025-10-22 19:36:11
37,levi38_2,已封禁,98,2025-10-18 01:06:16
38,ret2z,已封禁,84,2025-10-19 01:50:42
39,J_ing,已封禁,66,2025-10-21 15:24:56
40,114514,已封禁,54,2025-10-20 17:58:52
41,Luno,已封禁,45,2025-10-18 16:25:46
42,mapls,已封禁,45,2025-10-20 11:01:24
43,perfunctory,已封禁,45,2025-10-20 11:18:10
44,Irons,已封禁,45,2025-10-20 16:55:39
45,Citanul #goodlunatic.github.io,已封禁,45,2025-10-20 19:12:44
