名次,昵称,组别,总分,最后提交时间
1,Muel'Nova  #顶护找我,,1980,2025-10-23 02:09:42
2,qmazon,（新生）,1291,2025-10-24 15:53:59
3,zyy,,1148,2025-10-22 17:52:32
4,🏄‍♂️🌊❄️🦅 #锂离子单推人,,1008,2025-10-23 22:44:35
5,😢,,905,2025-10-19 14:44:40
6,StatInfer #可爱新生一枚喵~,（新生）,905,2025-10-21 07:09:41
7,ukpregit #gpt vs gemini，你们知道吗？,,905,2025-10-22 00:16:14
8,Lost-MSth,,878,2025-10-24 16:56:57
9,我一个做图形的怎么来打CTF了呢,,820,2025-10-22 23:11:21
10,en,,820,2025-10-23 17:54:34
11,Dora丶lyyyyy #请关注闪耀色彩,,775,2025-10-21 09:46:28
12,飞得更高,,775,2025-10-21 19:16:52
13,修勾 #主人❤️,,775,2025-10-21 20:00:36
14,RobertK #algo，温暖的家,,775,2025-10-22 03:52:48
15,Bunny #一觉醒来高我300分#没招了,,775,2025-10-22 14:03:34
16,Para,,721,2025-10-22 19:35:19
17,inZane(终于不用写wp) #吾心吾行黑如墨镜,（新生）,720,2025-10-21 20:14:50
18,kunyi #到此二游,,719,2025-10-23 10:57:22
19,zhjxaoini #遇到困难睡大觉,（新生）,674,2025-10-23 16:05:20
20,伏月 #ANON TOKYO,,674,2025-10-24 14:54:24
21,Rowan,,674,2025-10-24 16:32:33
22,Randomistas,,667,2025-10-23 20:24:09
23,gpt少女的flag审判 #AAA雪莉鲜榨苹果汁,,650,2025-10-24 01:09:25
24,Flying_Craft #小登和大佬们赛博合影~,（新生）,631,2025-10-20 19:40:58
25,dblark,,620,2025-10-20 22:56:15
26,Francis,,620,2025-10-21 12:49:15
27,flying_doraemon #萌新拼尽全力无法战胜！,,620,2025-10-21 19:31:29
28,positive1,（新生）,620,2025-10-21 22:47:36
29,原神启动！,（新生）,620,2025-10-22 16:47:39
30,可口的鸭梨 #操盘师傅2000tick收工纯手玩,,619,2025-10-24 03:23:57
