名次,昵称,组别,总分,最后提交时间
1,Xyzst,（新生）,1458,2025-10-24 17:13:09
2,Beta,,1090,2025-10-23 18:49:51
3,APJifengc,（新生）,1077,2025-10-23 16:40:51
4,CyberCraze,,1077,2025-10-23 18:14:10
5,llingy #请予我无垠长夜一束光,（新生）,905,2025-10-22 09:08:14
6,浅草袋鼠鸡,,775,2025-10-21 23:28:23
7,flaw,,775,2025-10-22 16:55:07
8,SamKuler #求求不要藏flag了😰,,775,2025-10-22 17:01:30
9,str,,650,2025-10-22 01:32:30
10,Sweetlemon #哪怕伤痕累累 哪怕再添新伤,,635,2025-10-22 22:10:12
11,nynauy,,620,2025-10-19 15:26:43
12,sphere,,620,2025-10-21 23:28:04
13,发来哥 #flag{3.1415926},,595,2025-10-20 00:51:31
14,tsingtsing burger #来个汉堡吗,,540,2025-10-22 17:22:45
15,2745518585,（新生）,499,2025-10-22 19:02:40
16,zhc7,,470,2025-10-23 12:44:05
17,RedApple,,445,2025-10-24 02:57:56
18,1234567890,（新生）,435,2025-10-22 15:31:16
19,Sail,,435,2025-10-22 16:49:58
20,莎布·拉姬,,421,2025-10-23 11:50:35
21,FranGuam,,373,2025-10-24 17:49:44
22,nadphatp,,365,2025-10-22 01:50:10
23,milky,,359,2025-10-24 16:19:42
24,l1l11lll1ll1,,324,2025-10-24 00:13:52
25,PhyC,（新生）,318,2025-10-23 19:43:09
26,南门阳德,（新生）,309,2025-10-24 17:12:43
27,122qweswd,,255,2025-10-18 00:22:18
28,DarkTooth,,255,2025-10-18 07:40:27
29,Heisenbug,,255,2025-10-18 23:32:25
30,kemurikkinoko,,255,2025-10-19 01:43:57
