名次,昵称,组别,总分,最后提交时间
1,没有 Hackergame 2025 玩了，悲伤 😞😞😞,校外选手,7446,2025-10-22 22:10:13
2,卡题巴拉,校外选手,5743,2025-10-24 17:57:24
3,🏄‍♂️🌊❄️🦅 #锂离子单推人,北京大学,5496,2025-10-24 16:58:19
4,piscesciurus #このあと、死にます。,校外选手,5215,2025-10-24 15:43:37
5,Muel'Nova  #顶护找我,北京大学,4865,2025-10-23 02:09:42
6,APJifengc,清华大学（新生）,4856,2025-10-23 16:40:51
7,Aqua Cat? #😿,校外选手,4837,2025-10-24 13:34:15
8,YUKI.N,校外选手,4509,2025-10-24 12:30:09
9,Lost-MSth,北京大学,4493,2025-10-24 16:58:05
10,qmazon,北京大学（新生）,4289,2025-10-24 17:38:30
11,Alex Tang,校外选手,4222,2025-10-23 19:56:42
12,zyy,北京大学,4175,2025-10-24 16:00:47
13,CyberCraze,清华大学,4172,2025-10-24 16:05:57
14,zhc7,清华大学,3870,2025-10-23 20:18:56
15,StatInfer #可爱新生一枚喵~,北京大学（新生）,3658,2025-10-24 04:03:12
16,"""伊莉丝""",校外选手,3641,2025-10-24 16:54:41
17,RobertK #algo，温暖的家,北京大学,3544,2025-10-23 15:33:04
18,修勾 #主人❤️,北京大学,3541,2025-10-24 01:08:34
19,Sweetlemon #哪怕伤痕累累 哪怕再添新伤,清华大学,3482,2025-10-24 17:25:02
20,JingBh #github.com/JingBh #只会web,校外选手,3470,2025-10-21 18:13:52
21,ShellWen #快跑有福瑞 #欢迎报考上饶职院,校外选手,3379,2025-10-24 03:14:22
22,Kurumi #ザフキエル,校外选手,3328,2025-10-24 17:52:21
23,SamKuler #求求不要藏flag了😰,清华大学,3285,2025-10-24 17:57:49
24,sjfhsjfh #GeekGame bye-bye,北京大学,3208,2025-10-22 20:41:21
25,kunyi #到此二游,北京大学,3168,2025-10-24 11:18:07
26,LTC,校外选手,3157,2025-10-24 00:32:40
27,😢,北京大学,3106,2025-10-23 04:15:12
28,ukpregit #gpt vs gemini，你们知道吗？,北京大学,3090,2025-10-23 10:36:24
29,Testla,校外选手,3048,2025-10-24 13:24:49
30,Marvin #我放弃了Binary,北京大学,3046,2025-10-24 14:42:16
31,e,校外选手,3039,2025-10-23 10:49:56
32,.,校外选手,3028,2025-10-24 17:17:53
33,Dora丶lyyyyy #请关注闪耀色彩,北京大学,2974,2025-10-24 17:47:45
34,Xyzst,清华大学（新生）,2906,2025-10-24 17:13:09
35,Beta,清华大学,2898,2025-10-23 18:49:51
36,optimize_2 #UCAS,校外选手,2855,2025-10-22 14:47:02
37,idawnlight,校外选手,2846,2025-10-24 16:05:17
38,llingy #请予我无垠长夜一束光,清华大学（新生）,2826,2025-10-24 10:19:15
39,zhjxaoini #遇到困难睡大觉,北京大学（新生）,2789,2025-10-24 17:27:04
40,RedApple,清华大学,2680,2025-10-24 03:50:25
41,huanli233 #关注没有未来的Suzume谢谢喵,校外选手,2670,2025-10-22 20:44:47
42,这是昵称 # 卷积算子硬算半天错了心态爆炸,北京大学（新生）,2634,2025-10-24 16:27:30
43,"求大佬浇浇技术 #XTS,出局！ # 运气真好",校外选手,2631,2025-10-22 09:45:14
44,nynauy,清华大学,2618,2025-10-22 12:55:18
45,Sail,清华大学,2602,2025-10-23 20:50:33
46,Bunny #一觉醒来高我300分#没招了,北京大学,2574,2025-10-24 11:00:45
47,sanae #咕咕嘎嘎,校外选手,2544,2025-10-24 00:20:39
48,MoeCaa #想玩卡拉彼丘喵,校外选手,2501,2025-10-24 17:51:01
49,伏月 #ANON TOKYO,北京大学,2449,2025-10-24 14:54:24
50,浅草袋鼠鸡,清华大学,2410,2025-10-24 17:07:00
51,1234567890,清华大学（新生）,2386,2025-10-24 12:33:29
52,Elvin Starry #余胜军说CTF,校外选手,2382,2025-10-23 01:56:22
53,Para,北京大学,2367,2025-10-23 17:09:41
54,flaw,清华大学,2339,2025-10-24 11:09:06
55,2745518585,清华大学（新生）,2332,2025-10-23 19:07:02
56,jumpmelon,校外选手,2326,2025-10-22 06:49:12
57,Randomistas,北京大学,2323,2025-10-23 20:24:09
58,xyslll,校外选手,2320,2025-10-24 16:59:19
59,Claret,北京大学,2306,2025-10-23 02:06:16
60,AlexGuo1998,校外选手,2303,2025-10-24 16:29:47
61,Ishisashi #大腿拍断 #赛后和ct进行一个基,校外选手,2261,2025-10-24 17:31:05
62,hhh,校外选手,2260,2025-10-22 19:51:23
63,Lysithea #草薙寧々激推 #想看pjsk剧场版,校外选手,2258,2025-10-23 07:54:29
