名次,昵称,组别,总分,最后提交时间
1,没有 Hackergame 2025 玩了，悲伤 😞😞😞,,7446,2025-10-22 22:10:13
2,卡题巴拉,,5743,2025-10-24 17:57:24
3,piscesciurus #このあと、死にます。,,5215,2025-10-24 15:43:37
4,Aqua Cat? #😿,,4837,2025-10-24 13:34:15
5,YUKI.N,,4509,2025-10-24 12:30:09
6,Alex Tang,,4222,2025-10-23 19:56:42
7,"""伊莉丝""",,3641,2025-10-24 16:54:41
8,JingBh #github.com/JingBh #只会web,,3470,2025-10-21 18:13:52
9,ShellWen #快跑有福瑞 #欢迎报考上饶职院,,3379,2025-10-24 03:14:22
10,Kurumi #ザフキエル,,3328,2025-10-24 17:52:21
11,LTC,,3157,2025-10-24 00:32:40
12,Testla,,3048,2025-10-24 13:24:49
13,e,,3039,2025-10-23 10:49:56
14,.,,3028,2025-10-24 17:17:53
15,optimize_2 #UCAS,,2855,2025-10-22 14:47:02
16,idawnlight,,2846,2025-10-24 16:05:17
17,huanli233 #关注没有未来的Suzume谢谢喵,,2670,2025-10-22 20:44:47
18,"求大佬浇浇技术 #XTS,出局！ # 运气真好",,2631,2025-10-22 09:45:14
19,sanae #咕咕嘎嘎,,2544,2025-10-24 00:20:39
20,MoeCaa #想玩卡拉彼丘喵,,2501,2025-10-24 17:51:01
21,Elvin Starry #余胜军说CTF,,2382,2025-10-23 01:56:22
22,jumpmelon,,2326,2025-10-22 06:49:12
23,xyslll,,2320,2025-10-24 16:59:19
24,AlexGuo1998,,2303,2025-10-24 16:29:47
25,Ishisashi #大腿拍断 #赛后和ct进行一个基,,2261,2025-10-24 17:31:05
26,hhh,,2260,2025-10-22 19:51:23
27,Lysithea #草薙寧々激推 #想看pjsk剧场版,,2258,2025-10-23 07:54:29
28,Miaoha #钢铁雨林 #童年终结 #回归熵增,,2193,2025-10-24 17:12:08
29,42,,2145,2025-10-20 19:56:21
30,银河-蜗牛 #galaxysnail #被大模型幻觉气晕,,2114,2025-10-24 17:03:11
31,Clover Yan #想拿纪念品却活活拍断了大腿,,2015,2025-10-24 14:10:51
32,鱼丸 'or 1=1#,,1984,2025-10-22 18:15:22
33,cirrea #关注阿梓从小就很可爱谢谢喵,,1846,2025-10-23 02:18:08
34,Simplxs,,1668,2025-10-22 20:44:56
35,intlsy,,1631,2025-10-21 13:24:03
36,Mnzn #会打GeekGame到底是什么感觉...,,1622,2025-10-23 12:18:55
37,1010,,1567,2025-10-22 18:20:11
38,#所以我退出了比赛,,1473,2025-10-18 15:58:16
39,Aengim7,,1449,2025-10-22 18:22:17
40,zysgmzb,,1448,2025-10-22 10:26:39
41,TruE #只做签到……吗？,,1440,2025-10-20 23:25:43
42,Suyun #哈基山的曼波打不打瓦,,1402,2025-10-22 20:24:30
43,hicode002,,1391,2025-10-21 20:36:29
44,ACA4DFA4,,1389,2025-10-24 11:05:40
45,Alex,,1384,2025-10-23 22:29:05
46,葛城莉莉娅的老公 #打不过H16-4,,1383,2025-10-22 21:42:59
47,Violet,,1239,2025-10-21 01:52:57
48,JOHNKRAM,,1217,2025-10-21 14:48:50
49,杂食.A1,,1208,2025-10-19 19:16:20
50,woodwhale,,1200,2025-10-23 16:54:10
51,Hatsune Miku #ミク天下第一,,1177,2025-10-24 03:20:24
52,EvilNeuro,,1174,2025-10-22 23:18:43
53,累了喵 #校外了喵,,1099,2025-10-22 15:39:32
54,RenzukaCtone #好累啊唉唉唉,,1086,2025-10-19 16:28:26
55,三角洲经济学教父教的,,995,2025-10-24 14:33:47
56,妈船 #喵拉喵丘喵了喵,,984,2025-10-24 15:17:49
57,GeekGame11451 #魔理沙偷走了重要的flag,,979,2025-10-24 01:50:52
58,Pologue #唉剩下不会做,,956,2025-10-22 21:46:17
59,NO_MYPCCC,,925,2025-10-23 23:09:51
60,wululu,,912,2025-10-24 14:02:01
61,emm...,,890,2025-10-19 22:33:36
62,zyn,,886,2025-10-24 17:07:18
63,Coff0xc,,875,2025-10-21 05:29:48
64,Ren,,848,2025-10-23 14:34:25
65,Acpear,,831,2025-10-20 02:55:56
66,Spark,,826,2025-10-24 16:06:07
67,TurboHsu,,773,2025-10-22 11:42:07
68,pthsm,,747,2025-10-23 23:20:48
69,WuYan,,740,2025-10-20 20:44:12
70,花咻的快乐生活,,714,2025-10-22 11:22:53
71,魔审糕手,,710,2025-10-21 23:12:55
72,Rekjo,,699,2025-10-22 09:28:19
73,账户 #1029,,698,2025-10-24 03:34:27
74,qq1945553176,,688,2025-10-18 16:23:10
75,羊城,,675,2025-10-23 00:36:12
76,圆周率,,663,2025-10-24 00:22:07
77,SpMv,,652,2025-10-20 13:37:30
78,雏鹰飞天 #请关注o!mLN4 及 osu世界杯,,646,2025-10-20 21:30:36
79,ETW_Zero,,623,2025-10-22 18:06:23
80,Yuisis,,621,2025-10-23 16:23:33
