名次,昵称,组别,总分,最后提交时间
1,🏄‍♂️🌊❄️🦅 #锂离子单推人,,5496,2025-10-24 16:58:19
2,Muel'Nova  #顶护找我,,4865,2025-10-23 02:09:42
3,Lost-MSth,,4493,2025-10-24 16:58:05
4,qmazon,（新生）,4289,2025-10-24 17:38:30
5,zyy,,4175,2025-10-24 16:00:47
6,StatInfer #可爱新生一枚喵~,（新生）,3658,2025-10-24 04:03:12
7,RobertK #algo，温暖的家,,3544,2025-10-23 15:33:04
8,修勾 #主人❤️,,3541,2025-10-24 01:08:34
9,sjfhsjfh #GeekGame bye-bye,,3208,2025-10-22 20:41:21
10,kunyi #到此二游,,3168,2025-10-24 11:18:07
11,😢,,3106,2025-10-23 04:15:12
12,ukpregit #gpt vs gemini，你们知道吗？,,3090,2025-10-23 10:36:24
13,Marvin #我放弃了Binary,,3046,2025-10-24 14:42:16
14,Dora丶lyyyyy #请关注闪耀色彩,,2974,2025-10-24 17:47:45
15,zhjxaoini #遇到困难睡大觉,（新生）,2789,2025-10-24 17:27:04
16,这是昵称 # 卷积算子硬算半天错了心态爆炸,（新生）,2634,2025-10-24 16:27:30
17,Bunny #一觉醒来高我300分#没招了,,2574,2025-10-24 11:00:45
18,伏月 #ANON TOKYO,,2449,2025-10-24 14:54:24
19,Para,,2367,2025-10-23 17:09:41
20,Randomistas,,2323,2025-10-23 20:24:09
21,Claret,,2306,2025-10-23 02:06:16
22,飞得更高,,2215,2025-10-22 11:33:59
23,gpt少女的flag审判 #AAA雪莉鲜榨苹果汁,,2214,2025-10-24 01:09:25
24,我一个做图形的怎么来打CTF了呢,,2212,2025-10-24 17:59:50
25,可口的鸭梨 #操盘师傅2000tick收工纯手玩,,2183,2025-10-24 03:23:57
26,Francis,,2154,2025-10-24 11:59:15
27,shisanli #fishing,,2129,2025-10-23 16:46:11
28,en,,2121,2025-10-24 03:09:29
29,黄鼠猫🐭|🐱 #嘻嘻我活下去了呀,,2119,2025-10-23 23:16:42
30,Colma,,2097,2025-10-22 22:41:06
31,alxdsptr,,2039,2025-10-24 17:53:19
32,xbtt #终于做出warden,,2005,2025-10-24 17:01:05
33,DS537 #明年一定早点开始做,,1945,2025-10-24 16:09:56
34,inZane(终于不用写wp) #吾心吾行黑如墨镜,（新生）,1706,2025-10-22 23:41:09
35,如果在我上面说明你有机会写WP（已摆烂）,（新生）,1651,2025-10-23 23:24:22
36,原神启动！,（新生）,1626,2025-10-23 23:00:19
37,我看不如Galgame #我要成为炒币领域大神,,1552,2025-10-24 17:50:39
38,请收看舞冰的祈愿 #今年没空打呜呜呜,,1547,2025-10-24 00:13:01
39,CHISAKI #若叶睦激推,,1519,2025-10-22 18:23:26
40,flying_doraemon #萌新拼尽全力无法战胜！,,1515,2025-10-24 15:02:25
41,404 student,,1514,2025-10-23 21:18:24
42,Flying_Craft #小登和大佬们赛博合影~,（新生）,1490,2025-10-22 21:27:56
43,dblark,,1481,2025-10-22 23:16:01
44,Eureka,,1422,2025-10-22 13:46:45
45,Rowan,,1414,2025-10-24 16:51:55
46,Jie,,1367,2025-10-23 17:01:29
47,ber #gg,,1325,2025-10-24 17:40:11
48,positive1,（新生）,1322,2025-10-22 17:53:51
49,Solicey #失敗した失敗した失敗した,,1319,2025-10-24 12:47:57
50,ying_hua #233,,1288,2025-10-24 17:49:29
51,dycast,,1272,2025-10-24 08:50:44
52,a12387,,1222,2025-10-23 17:02:46
53,acbb,,1142,2025-10-23 18:55:15
54,cczzy,,1127,2025-10-23 22:57:42
55,outerform,,998,2025-10-22 02:30:56
56,hosilite,,897,2025-10-22 20:11:10
57,poppy,,772,2025-10-20 01:39:23
58,AquariusLee #花园的小曲,（新生）,763,2025-10-24 02:59:36
59,悬疑,,741,2025-10-18 22:44:33
60,eleven_mile,,715,2025-10-22 16:09:09
61,Xulqux,（新生）,672,2025-10-24 15:00:04
62,r0ngy40,,621,2025-10-20 21:41:05
63,teerw,,592,2025-10-22 20:15:49
64,AibohDij,,575,2025-10-18 23:45:58
65,水帝WaterKing,,537,2025-10-18 14:56:54
66,你是谁？  #来玩魔法少女的魔女审判！,,522,2025-10-19 00:13:13
67,wasa855,,479,2025-10-22 20:05:52
68,茂流华灯江沪汐 #我饿了,（新生）,432,2025-10-22 13:09:35
69,蜜桃星冰乐多奶油加柑橘果肉加巧克力碎少冰,,388,2025-10-18 09:57:40
70,rizoziq,,376,2025-10-22 19:06:21
71,v,（新生）,348,2025-10-23 20:26:53
72,hahaha,,320,2025-10-18 22:49:43
73,bruce,,300,2025-10-18 09:57:28
74,DawnAA,,295,2025-10-21 20:04:18
75,zsx,（新生）,275,2025-10-18 20:19:05
76,求你给我一个flagT_T,（新生）,275,2025-10-18 23:34:53
77,stibiums,,275,2025-10-19 15:43:05
78,FaniX,,268,2025-10-20 23:49:20
79,極光Aurora,（新生）,263,2025-10-22 19:27:40
80,Jerry,,250,2025-10-20 15:26:46
81,PhiLia236,,250,2025-10-20 15:58:00
82,一只松鼠,,217,2025-10-23 00:04:46
83,wzj,（新生）,209,2025-10-21 17:04:55
84,haha,,209,2025-10-22 14:53:44
85,legend,（新生）,209,2025-10-23 09:20:13
86,欢迎使用ABACUS,,195,2025-10-22 18:41:52
87,zzg,,185,2025-10-19 00:13:01
88,temp,,185,2025-10-21 17:11:42
89,IceTea,,183,2025-10-23 03:14:21
90,y,,164,2025-10-17 22:42:26
