名次,昵称,组别,总分,最后提交时间
1,APJifengc,（新生）,4856,2025-10-23 16:40:51
2,CyberCraze,,4172,2025-10-24 16:05:57
3,zhc7,,3870,2025-10-23 20:18:56
4,Sweetlemon #哪怕伤痕累累 哪怕再添新伤,,3482,2025-10-24 17:25:02
5,SamKuler #求求不要藏flag了😰,,3285,2025-10-24 17:57:49
6,Xyzst,（新生）,2906,2025-10-24 17:13:09
7,Beta,,2898,2025-10-23 18:49:51
8,llingy #请予我无垠长夜一束光,（新生）,2826,2025-10-24 10:19:15
9,RedApple,,2680,2025-10-24 03:50:25
10,nynauy,,2618,2025-10-22 12:55:18
11,Sail,,2602,2025-10-23 20:50:33
12,浅草袋鼠鸡,,2410,2025-10-24 17:07:00
13,1234567890,（新生）,2386,2025-10-24 12:33:29
14,flaw,,2339,2025-10-24 11:09:06
15,2745518585,（新生）,2332,2025-10-23 19:07:02
16,FranGuam,,2197,2025-10-24 17:50:04
17,l1l11lll1ll1,,2085,2025-10-24 01:31:52
18,sphere,,1832,2025-10-23 16:21:45
19,str,,1775,2025-10-23 19:26:10
20,PhyC,（新生）,1759,2025-10-23 19:43:09
21,发来哥 #flag{3.1415926},,1730,2025-10-22 21:50:12
22,莎布·拉姬,,1655,2025-10-23 14:12:09
23,tsingtsing burger #来个汉堡吗,,1470,2025-10-24 17:51:04
24,milky,,1423,2025-10-24 16:19:42
25,kemurikkinoko,,1411,2025-10-24 12:49:14
26,DarkTooth,,1382,2025-10-24 07:42:02
27,951413,,1373,2025-10-23 20:59:24
28,122qweswd,,1355,2025-10-24 17:49:18
29,tytyz,,1336,2025-10-24 17:46:22
30,啊？,,1335,2025-10-22 21:11:32
31,南门阳德,（新生）,1331,2025-10-24 17:12:43
32,zirno81,,1307,2025-10-23 22:06:48
33,ぐるぐる帝国,,1012,2025-10-22 15:19:33
34,adwadwardF,,952,2025-10-22 23:28:23
35,P31pr,,946,2025-10-24 16:52:47
36,nadphatp,,928,2025-10-23 23:16:27
37,shenm1ren #池塘里有十朵莲，我采一朵,,745,2025-10-23 23:58:29
38,梅兰竹音,,642,2025-10-22 20:52:16
39,Heisenbug,,630,2025-10-20 13:41:07
40,Carixte,,548,2025-10-22 21:56:58
41,戈沃·弗拉格,,509,2025-10-24 13:08:49
42,Stlriiink,,505,2025-10-23 01:29:14
43,zigzag,,486,2025-10-18 14:37:20
44,我是高延津没有剪子✂,,469,2025-10-24 14:16:49
45,fengyz,,446,2025-10-20 08:56:48
46,nori,,442,2025-10-24 11:30:12
47,LH_sulfate_ion,,427,2025-10-24 17:46:41
48,JimenezLi,,403,2025-10-24 13:16:05
49,Stella,,379,2025-10-24 01:10:52
50,菜菜捞捞,,319,2025-10-21 12:16:38
51,WeissSchnee,,293,2025-10-21 01:09:33
52,bmatrix,（新生）,276,2025-10-21 22:55:31
53,abb,（新生）,247,2025-10-22 21:42:22
54,AshGrey不会梦见大萝卜🥕,,247,2025-10-23 13:04:21
55,zbn9w,,209,2025-10-17 23:10:33
56,suiiiii,,209,2025-10-18 00:58:10
57,zz2745518585,（新生）,200,2025-10-19 00:39:44
58,sunzh,,200,2025-10-19 11:27:41
59,crazy,,197,2025-10-21 22:26:06
60,oscar,（新生）,165,2025-10-21 17:13:55
61,1231,,148,2025-10-20 21:27:20
62,Liuhunck,,140,2025-10-23 20:00:01
63,7NH3As,,113,2025-10-20 22:03:09
64,lyjl16,（新生）,111,2025-10-17 20:53:46
65,fantasy,,100,2025-10-23 23:28:40
66,千早爱音,,72,2025-10-22 20:25:05
67,gch,（新生）,66,2025-10-18 00:14:51
68,April,,66,2025-10-18 00:34:07
69,Samuel,,66,2025-10-19 19:02:50
70,schubaru,,45,2025-10-17 18:24:03
71,hml_2237,,45,2025-10-17 18:37:11
72,moon,,45,2025-10-17 20:21:43
73,Ever727,,45,2025-10-18 01:09:11
74,hy233,（新生）,45,2025-10-18 11:46:40
75,燕阙归,,45,2025-10-18 13:41:01
76,Zzz,,45,2025-10-19 00:05:52
77,Triker,,45,2025-10-19 16:25:18
78,Yasar,,45,2025-10-20 14:25:04
79,加菲君,,45,2025-10-22 14:18:29
